BAW5,B789,DET
THA911,B77W,DET
QFA10,B789,DET
AAL173,B772,UMLAT
BAW7GV,A20N,MAXIT
AAL47,B789,CPT
BAW754B,A319,MAXIT
BAW1344,A20N,GOGSI
UAL17,B772,UMLAT
ACA855,B789,UMLAT
VIR19Z,B789,UMLAT
BAW58TL,A320,GOGSI
SWR194C,A321,DET
UAL919,B772,CPT
UAL928,B763,UMLAT
AAL733,B772,UMLAT
BAW952M,A320,DET
MEA202,A21N,DET
AAL81,B772,UMLAT
BAW85Q,A319,CPT
BAW91C,B772,UMLAT
EWG14NR,A319,BPK
AEE601,A20N,DET
ICE451,B38M,UMLAT
BAW7W,B789,CPT
EIN159,A20N,CPT
JBU1621,A21N,CPT
VIR5C,A339,UMLAT
VIR7B,A35K,UMLAT
SHT18C,A20N,UMLAT
TAP67M,A20N,GOGSI
DAL11,A333,UMLAT
DAL31,B764,UMLAT
BAW682Z,A320,DET
BAW281,B77W,UMLAT
UAL900,B789,UMLAT
ALK506,A333,DET
AAL39,B772,CPT
BAW690,A320,DET
BAW788,A320,MAXIT
BAW107,B789,DET
BAW560F,A320,MAXIT
BAW243,B789,UMLAT
BAW4RE,A320,GOGSI
BAW438,A320,BPK
VIR45W,A35K,CPT
LZB852,A319,DET
BAW14R,A320,MAXIT
BAW44N,A35K,UMLAT
BAW279,B789,UMLAT
ACA851,B788,UMLAT
AIC150,B788,DET
P4787,B788,DET
SHT4B,A320,UMLAT
VIR133V,A333,CPT
BAW520,A20N,GOGSI
SHT2V,A20N,UMLAT
BAW314S,A319,MAXIT
QTR18G,B77L,MAXIT
WIF7G,DH8D,BPK
AAL155,B772,UMLAT
UAE9944,B77L,DET
BAW480N,A320,MAXIT
BAW42X,A321,DET
BAW263,B772,DET
ASL42V,A319,DET
BAW58EW,A319,DET
BAW3TV,A320,MAXIT
BAW48G,A320,DET
BAW223N,B788,UMLAT
ACA865,A333,UMLAT
VIR129R,A339,UMLAT
BAW732,A320,MAXIT
BAW81,A35K,MAXIT
BAW125,B772,DET
DLH1U,A20N,DET
AIC170,B788,BPK
BAW460M,A320,GOGSI
